stage,duration,dur.uncertainty
Famennian,14.4,0.28
Frasnian,6.5,0.4
Givetian,4.35,0.45
Eifelian,5,1.01
Pragian,1.7,0.7
Lochkovian,7.7,2.8
Eifelian.above.A-D14,2.960294,0.5979795
Eifelian.below.A-D14,2.039706,0.4120205
Eifelian.above.A-D15,1.353672,0.2734417
Eifelian.below.A-D15,3.645562,0.7364035
Lochkovian.above.D5D6.K,4.378431,1.592157
Lochkovian.below.D5D6.K,3.32716,1.209877
Lochkovian.above.D5D6.B12,3.132066,1.138933
Lochkovian.below.D5D6.B12,4.563867,1.659588
Lochkovian.above.D5D6.B20,5.337091,1.940761
Lochkovian.below.D5D6.B20,2.362909,0.8592395